date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:13	115/115	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Oct%202025%2020:09:18%20GMT	https://simplify-living.ch/robots.txt		(from )
22:09:14	205543/-1	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2020:09:18%20GMT	https://simplify-living.ch/	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/index.html	(from )
22:09:15	5842/5842	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2020:09:19%20GMT	https://gmpg.org/xfn/11	C:/My%20Web%20Sites/simplify-living/gmpg.org/xfn/11.html	(from https://simplify-living.ch/)
22:09:15	41482/41482	---MCZ	200	added ('OK')	text/css	etag:W/%22645ae171-a20a%22	https://simplify-living.ch/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/themes/astra/assets/css/minified/main.mineda1.css	(from https://simplify-living.ch/)
22:09:16	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Oct%202025%2020:09:19%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/simplify-living/fonts.googleapis.com/index.html	(from https://simplify-living.ch/)
22:09:16	1205/1205	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Oct%202025%2020:09:20%20GMT	https://fonts.googleapis.com/css?family=Josefin+Sans%3A300%2C400%2C200%2C600%7CDM+Sans%3A400&display=fallback&ver=4.1.4	C:/My%20Web%20Sites/simplify-living/fonts.googleapis.com/css0e17.css	(from https://simplify-living.ch/)
22:09:17	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%226512b36f-b2b%22	https://simplify-living.ch/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/contact-form-7/includes/css/styles41a3.css	(from https://simplify-living.ch/)
22:09:17	882/882	---MCZ	200	added ('OK')	text/css	etag:W/%22372-5fb4bba8044fc%22	https://simplify-living.ch/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.1.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.mineda1.css	(from https://simplify-living.ch/)
22:09:17	0/0	---M--	200	added ('OK')	text/css	etag:%220-6326c5b623d65%22	https://simplify-living.ch/wp-content/uploads/useanyfont/uaf.css?ver=1744290831	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/uploads/useanyfont/uaf7b50.css	(from https://simplify-living.ch/)
22:09:17	1903/1903	---MC-	200	added ('OK')	application/rss+xml	etag:%22f2a52abacdbaa4e1ba94d56ec91b2bf6%22	https://simplify-living.ch/feed/	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/feed/index.html	(from https://simplify-living.ch/)
22:09:17	8422/8422	---MCZ	200	added ('OK')	text/css	etag:W/%2268c8ced2-20e6%22	https://simplify-living.ch/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher-v2.css?ver=2.10.5	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher-v24d48.css	(from https://simplify-living.ch/)
22:09:18	21256/21256	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fde-5308%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.44.0	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine085.css	(from https://simplify-living.ch/)
22:09:18	53614/53614	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fda-d16e%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/frontend.min4a4c.css	(from https://simplify-living.ch/)
22:09:18	100/100	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264-64074993b26a3%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/mask-shapes/circle.svg	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/mask-shapes/circle.svg	(from https://simplify-living.ch/)
22:09:18	792083/792083	---M--	200	added ('OK')	image/jpeg	etag:%22651310a4-c1613%22	https://simplify-living.ch/wp-content/uploads/2023/09/2bett-scaled.jpg	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/uploads/2023/09/2bett-scaled.jpg	(from https://simplify-living.ch/)
22:09:18	1664/1664	---MC-	200	added ('OK')	application/rss+xml	etag:%22f2a52abacdbaa4e1ba94d56ec91b2bf6%22	https://simplify-living.ch/comments/feed/	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/comments/feed/index.html	(from https://simplify-living.ch/)
22:09:19	13815/13815	---MCZ	200	added ('OK')	text/css	etag:W/%22651fd216-35f7%22	https://simplify-living.ch/wp-content/plugins/fancy-elementor-flipbox//assets/css/fancy-elementor-flipbox.css?ver=6.8.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/fancy-elementor-flipbox/assets/css/fancy-elementor-flipbox32d4.css	(from https://simplify-living.ch/)
22:09:19	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fde-e7d0%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min4a4c.css	(from https://simplify-living.ch/)
22:09:19	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fde-684e%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min4a4c.css	(from https://simplify-living.ch/)
22:09:19	1833/1833	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fda-729%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-spacer.min4a4c.css	(from https://simplify-living.ch/)
22:09:19	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%22fe-6407498f1c539%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-image.min4a4c.css	(from https://simplify-living.ch/)
22:09:20	338/338	---MCZ	200	added ('OK')	text/css	etag:W/%22152-64074992c49e5%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min4a4c.css	(from https://simplify-living.ch/)
22:09:20	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22258-6407498f1b599%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-heading.min4a4c.css	(from https://simplify-living.ch/)
22:09:20	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fdf-4057%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://simplify-living.ch/)
22:09:20	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fda-156e%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min4a4c.css	(from https://simplify-living.ch/)
22:09:21	382/382	---MCZ	200	added ('OK')	text/css	etag:W/%2217e-6407498f1bd69%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.32.4	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/css/widget-image-carousel.min4a4c.css	(from https://simplify-living.ch/)
22:09:21	7010/7010	---MCZ	200	added ('OK')	text/css	etag:W/%2265684ad6-1b62%22	https://simplify-living.ch/wp-content/plugins/beaf-before-and-after-gallery/assets/css/twentytwenty.css?ver=6.8.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/beaf-before-and-after-gallery/assets/css/twentytwenty32d4.css	(from https://simplify-living.ch/)
22:09:21	18182/18182	---MCZ	200	added ('OK')	text/css	etag:W/%2265684ad6-4706%22	https://simplify-living.ch/wp-content/plugins/beaf-before-and-after-gallery/assets/css/bafg-style.css?ver=6.8.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/beaf-before-and-after-gallery/assets/css/bafg-style32d4.css	(from https://simplify-living.ch/)
22:09:21	107730/107730	---MCZ	200	added ('OK')	text/css	etag:W/%2267d93e77-1a4d2%22	https://simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1742290551	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/roboto324f.css	(from https://simplify-living.ch/)
22:09:22	25074/25074	---MCZ	200	added ('OK')	text/css	etag:W/%2267d93e7b-61f2%22	https://simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1742290555	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/robotoslabff39.css	(from https://simplify-living.ch/)
22:09:22	19761/19761	---MCZ	200	added ('OK')	text/css	etag:W/%2267d93e7d-4d31%22	https://simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/josefinsans.css?ver=1742290557	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/uploads/elementor/google-fonts/css/josefinsansa8b6.css	(from https://simplify-living.ch/)
22:09:22	58071/58071	---MCZ	200	added ('OK')	text/css	etag:W/%2268e32fde-e2d7%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://simplify-living.ch/)
22:09:22	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%222a5-640749931dbb2%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://simplify-living.ch/)
22:09:22	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2229d-640749931df9a%22	https://simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/simplify-living/simplify-living.ch/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://simplify-living.ch/)
